patch_id,T,B,fC_0,fC,I,F,S,category
42,3.260049469503612,6,0.3920499705532904,0.3920499705532904,0,0,0,non_int
43,0.17397498213192134,0,0.2155855059407165,0.2155855059407165,1,1,0,fail
44,0.5020177533245117,3,0.07205462031199203,0.07205462031199203,0,0,0,non_int
45,0.15248867503639715,0,0.024755181703300495,0.024755181703300495,1,1,0,fail
46,0.4023206003954104,0,0.013843367963106994,0.013843367963106994,0,0,0,non_int
47,0.009371772790758022,0,0.21808243923103757,0.21808243923103757,0,0,0,non_int
48,0.23599394579519423,1,0.19999187800276638,0.19999187800276638,1,1,0,fail
49,0.11733401618524858,0,0.060788776166004574,0.060788776166004574,0,0,0,non_int
50,0.3270260957668744,1,0.12422784741455413,0.5621139237072771,1,0,1,success
51,1.0380615246341331,1,0.4164232253332952,0.4164232253332952,0,0,0,non_int
52,0.05427905215912139,0,0.37905637423088634,0.37905637423088634,0,0,0,non_int
53,0.9123685618827115,0,0.039781834380284584,0.039781834380284584,0,0,0,non_int
54,1.0398910884818122,2,0.1258953753165063,0.1258953753165063,0,0,0,non_int
55,0.13747524684613907,0,0.4620332513064098,0.4620332513064098,1,1,0,fail
56,1.1948801208785422,2,0.45790099576785115,0.45790099576785115,0,0,0,non_int
57,4.125330824029056,4,0.5774831263421148,0.5774831263421148,0,0,0,non_int
58,2.1342333402150513,4,0.2874020083360017,0.2874020083360017,0,0,0,non_int
59,0.1158096015917147,1,0.22960442821188787,0.22960442821188787,1,1,0,fail
60,0.08645102898025238,0,0.43058829080095967,0.43058829080095967,0,0,0,non_int
61,0.40461437212841084,1,0.14832481852360124,0.14832481852360124,1,1,0,fail
62,0.7545716731152571,1,0.37492217797787064,0.37492217797787064,0,0,0,non_int
63,0.36016226282336444,0,0.1389663367386878,0.1389663367386878,1,1,0,fail
64,0.7531732289628152,1,0.03841496495619126,0.5192074824780957,1,0,1,success
65,1.3543664313534702,1,0.006281844863993714,0.006281844863993714,0,0,0,non_int
66,0.5555246161294283,1,0.30033334208846896,0.30033334208846896,0,0,0,non_int
67,0.15927706593376253,0,0.30525271642635987,0.30525271642635987,0,0,0,non_int
68,0.8459133536198467,2,0.72161519359438,0.86080759679719,1,0,1,success
69,5.874027737296363,9,0.264013295977803,0.6320066479889015,1,0,1,success
70,0.2911759052603559,0,0.02336286213715544,0.02336286213715544,0,0,0,non_int
71,1.431490270735409,1,0.1603577826004865,0.1603577826004865,0,0,0,non_int
72,0.5870439170756918,0,0.4076055881946729,0.4076055881946729,0,0,0,non_int
73,0.09269345352691441,0,0.1021818813712533,0.1021818813712533,1,1,0,fail
74,1.340903772793259,3,0.5931316590344602,0.5931316590344602,1,1,0,fail
75,0.5000349968372669,1,0.6462995554894762,0.8231497777447381,1,0,1,success
76,0.18071265519803992,0,0.17759478555173655,0.17759478555173655,0,0,0,non_int
77,0.8282890752147525,1,0.03389570355466809,0.03389570355466809,0,0,0,non_int
78,0.9730807402180569,1,0.1293472414367896,0.1293472414367896,0,0,0,non_int
79,0.313222202061563,1,0.2959928882732626,0.2959928882732626,1,1,0,fail
80,0.26579861224820117,0,0.13750452392712428,0.13750452392712428,0,0,0,non_int
81,0.3812246944592411,2,0.4035930466037837,0.4035930466037837,0,0,0,non_int
82,0.7899059670939922,1,0.13289830599413585,0.13289830599413585,0,0,0,non_int
83,0.1758512711223237,0,0.1131964502443848,0.1131964502443848,0,0,0,non_int
84,0.2839868629781937,1,0.7115879021016795,0.7115879021016795,0,0,0,non_int
85,0.3888678515659155,2,0.16921090082825213,0.16921090082825213,0,0,0,non_int
86,0.21068472628281576,0,0.20429545223706275,0.20429545223706275,0,0,0,non_int
87,0.9552504568657308,1,0.6065909976358551,0.6065909976358551,0,0,0,non_int
88,0.18179237127166314,0,0.03718763726810484,0.03718763726810484,1,1,0,fail
89,0.022568050714099168,0,0.3611838058595832,0.3611838058595832,0,0,0,non_int
90,0.10683926602038235,0,0.017486204142649404,0.017486204142649404,1,1,0,fail
91,0.452511147978935,0,0.1816751557428681,0.1816751557428681,1,1,0,fail
92,2.8656787527053913,3,0.21034176241845629,0.21034176241845629,0,0,0,non_int
93,0.1273160768591482,0,0.7754791914457961,0.7754791914457961,1,1,0,fail
94,2.97717790101247,5,0.2959045927262796,0.6479522963631399,1,0,1,success
95,0.06705164097127156,1,0.20367856177579693,0.20367856177579693,1,1,0,fail
96,1.1226374184462793,2,0.27874571727519437,0.27874571727519437,1,1,0,fail
97,0.09294532065023552,0,0.15707466205786866,0.15707466205786866,1,1,0,fail
98,0.03979381538775503,0,0.5858410251383833,0.5858410251383833,1,1,0,fail
