patch_id,T,B,fC_0,fC,I,F,S,category
0,0.18413256735377503,1,0.242542748789109,0.242542748789109,0,0,0,non_int
1,0.6450270693873458,0,0.2650943920671833,0.2650943920671833,0,0,0,non_int
2,4.690218692461341,7,0.573816157167967,0.573816157167967,0,0,0,non_int
3,0.12556759984614568,0,0.1640765402402616,0.1640765402402616,1,1,0,fail
4,0.1533142332386084,2,0.39420192988950453,0.39420192988950453,1,1,0,fail
5,1.3228042567712646,3,0.12002882719432546,0.12002882719432546,0,0,0,non_int
6,1.4543080937117472,1,0.07835848619554593,0.07835848619554593,0,0,0,non_int
7,0.19933150279027786,0,0.00903302274863729,0.00903302274863729,0,0,0,non_int
8,9.42007938006452,17,0.27623008464395493,0.6381150423219775,1,0,1,success
9,0.4684139954336841,1,0.09552878381316399,0.09552878381316399,1,1,0,fail
10,0.13266694883854152,0,0.3709003684152021,0.3709003684152021,0,0,0,non_int
11,0.8842782094546301,1,0.3062942012545838,0.3062942012545838,1,1,0,fail
12,5.32564594671623,5,0.015284984549788804,0.5076424922748944,1,0,1,success
13,0.10031532401068222,1,0.1707532136705292,0.1707532136705292,0,0,0,non_int
14,1.6698318336448699,4,0.08493481867465943,0.08493481867465943,0,0,0,non_int
15,0.5486747355013905,0,0.029599368821373127,0.029599368821373127,0,0,0,non_int
16,2.072362945453573,3,0.6015093064208404,0.6015093064208404,0,0,0,non_int
17,4.1222167843223865,8,0.010627087692939385,0.5053135438464696,1,0,1,success
18,0.07694393330404768,0,0.05162163322914878,0.05162163322914878,0,0,0,non_int
19,0.012150770669998206,0,0.26945192017859826,0.26945192017859826,1,1,0,fail
20,0.21968535620215773,0,0.015682213837491948,0.015682213837491948,0,0,0,non_int
21,0.9932715302080618,2,0.5259959276493751,0.5259959276493751,0,0,0,non_int
22,0.22278012320277696,0,0.07167220023235935,0.07167220023235935,1,1,0,fail
23,0.11162693815566711,1,0.15256680977037695,0.15256680977037695,1,1,0,fail
24,0.8097775145572884,1,0.592885432709192,0.592885432709192,0,0,0,non_int
25,0.5035459827484985,0,0.5029238257576012,0.5029238257576012,0,0,0,non_int
26,0.33464698393937575,1,0.024333308431864705,0.024333308431864705,0,0,0,non_int
27,0.31356204826517164,0,0.019876282055411004,0.019876282055411004,0,0,0,non_int
28,0.3491613103357285,0,0.008517112107808237,0.008517112107808237,0,0,0,non_int
29,0.16236565212026804,0,0.16803109067008068,0.16803109067008068,0,0,0,non_int
30,8.49406561330973,18,0.08253321142782961,0.5412666057139148,1,0,1,success
31,2.3718047168788723,3,0.00468826030966057,0.00468826030966057,0,0,0,non_int
32,3.192870410477702,2,0.25111552992221303,0.25111552992221303,0,0,0,non_int
33,6.406623005402306,21,0.41773675352954115,0.7088683767647705,1,0,1,success
34,1.6718013566765342,2,0.05858869400838776,0.05858869400838776,0,0,0,non_int
35,5.44111861763143,7,0.09125116704924369,0.5456255835246218,1,0,1,success
36,2.146747732668781,2,0.17694093548158113,0.17694093548158113,0,0,0,non_int
37,0.7026178498401615,1,0.17458497171403536,0.17458497171403536,0,0,0,non_int
38,0.08884736917638503,0,0.23535551213145842,0.23535551213145842,0,0,0,non_int
39,0.4339798514744206,1,0.3418774047825236,0.3418774047825236,0,0,0,non_int
40,0.7199236839141285,1,0.18304127580412216,0.18304127580412216,1,1,0,fail
41,1.0875366308192005,2,0.12526247429351095,0.12526247429351095,0,0,0,non_int
42,3.260049469503612,6,0.17039952594824537,0.17039952594824537,0,0,0,non_int
43,0.17397498213192134,0,0.09653802889877973,0.09653802889877973,1,1,0,fail
44,0.5020177533245117,0,0.014472891708606446,0.014472891708606446,0,0,0,non_int
45,0.5082955834546572,2,0.33347738406677085,0.33347738406677085,0,0,0,non_int
46,2.011603001977052,6,0.12775838333647646,0.5638791916682382,1,0,1,success
47,0.0028115318372274067,0,0.23610023215462142,0.23610023215462142,1,1,0,fail
48,0.7866464859839808,0,0.13855665240251394,0.13855665240251394,0,0,0,non_int
49,0.11733401618524858,0,0.3985629839215771,0.3985629839215771,0,0,0,non_int
50,0.06540521915337488,0,0.35762177318832883,0.35762177318832883,0,0,0,non_int
51,1.0380615246341331,0,0.10344130425062738,0.10344130425062738,0,0,0,non_int
52,0.05427905215912139,1,0.43750262414535407,0.43750262414535407,0,0,0,non_int
53,4.561842809413558,8,0.12801658884692813,0.5640082944234641,1,0,1,success
54,1.0398910884818122,0,0.1319768400641557,0.1319768400641557,0,0,0,non_int
55,0.4582508228204636,0,0.19684437636071195,0.19684437636071195,0,0,0,non_int
56,0.35846403626356266,1,0.10929659657809955,0.10929659657809955,1,1,0,fail
57,4.125330824029056,5,0.25901913385323055,0.25901913385323055,0,0,0,non_int
58,2.1342333402150513,2,0.08911006705977523,0.08911006705977523,0,0,0,non_int
59,0.3860320053057157,0,0.08983142687920251,0.08983142687920251,0,0,0,non_int
60,0.08645102898025238,0,0.1144351746762919,0.1144351746762919,0,0,0,non_int
61,1.3487145737613695,3,0.41597348605088075,0.41597348605088075,0,0,0,non_int
62,0.7545716731152571,0,0.32995483165615846,0.32995483165615846,0,0,0,non_int
63,6.002704380389408,7,0.7158199852050752,0.8579099926025375,1,0,1,success
64,0.15063464579256305,0,0.15522116567966174,0.15522116567966174,0,0,0,non_int
65,1.3543664313534702,1,0.054753824024719185,0.054753824024719185,0,0,0,non_int
66,0.5555246161294283,1,0.019942422868174044,0.019942422868174044,0,0,0,non_int
67,0.15927706593376253,1,0.5048535315867454,0.5048535315867454,0,0,0,non_int
68,0.16918267072396934,0,0.03841097273722281,0.03841097273722281,0,0,0,non_int
69,1.1748055474592727,1,0.043313550168189226,0.043313550168189226,0,0,0,non_int
70,0.2911759052603559,1,0.38354812575447217,0.38354812575447217,0,0,0,non_int
71,0.42944708122062264,1,0.24263823894500763,0.24263823894500763,1,1,0,fail
72,0.5870439170756918,0,0.26915620557762443,0.26915620557762443,0,0,0,non_int
73,0.09269345352691441,0,0.6455118213633803,0.6455118213633803,1,1,0,fail
74,4.4696792426441965,5,0.14370895690231808,0.14370895690231808,0,0,0,non_int
75,0.10000699936745339,0,0.19719332979096055,0.19719332979096055,0,0,0,non_int
76,0.18071265519803992,0,0.018230068748060713,0.018230068748060713,0,0,0,non_int
77,0.8282890752147525,2,0.16175808991213875,0.16175808991213875,0,0,0,non_int
78,0.29192422206541707,0,0.1288999906784367,0.1288999906784367,1,1,0,fail
79,5.220370034359383,13,0.18866637687032653,0.5943331884351633,1,0,1,success
80,0.26579861224820117,0,0.35572976128539185,0.35572976128539185,0,0,0,non_int
81,0.3812246944592411,0,0.0008114941123159779,0.0008114941123159779,0,0,0,non_int
82,0.23697179012819763,0,0.3136964894225453,0.3136964894225453,1,1,0,fail
83,0.05275538133669711,0,0.0887626599566221,0.0887626599566221,1,1,0,fail
84,0.2839868629781937,1,0.4918602164965333,0.4918602164965333,0,0,0,non_int
85,0.11666035546977466,0,0.3605459817297979,0.3605459817297979,1,1,0,fail
86,0.21068472628281576,1,0.022962349890098575,0.022962349890098575,0,0,0,non_int
87,0.9552504568657308,3,0.44503324624799406,0.44503324624799406,0,0,0,non_int
88,3.0298728545277194,2,0.4427051827721001,0.7213525913860501,1,0,1,success
89,0.022568050714099168,0,0.02252526029769059,0.02252526029769059,0,0,0,non_int
90,0.35613088673460785,0,0.1354832431642895,0.1354832431642895,0,0,0,non_int
91,7.541852466315584,13,0.5658406432946989,0.7829203216473495,1,0,1,success
92,2.8656787527053913,1,0.3440507178166547,0.3440507178166547,0,0,0,non_int
93,0.42438692286382734,1,0.05249398623452542,0.05249398623452542,0,0,0,non_int
94,0.595435580202494,0,0.1241442676990341,0.1241442676990341,0,0,0,non_int
95,1.1175273495211928,3,0.19531945944253745,0.5976597297212687,1,0,1,success
96,1.1226374184462793,0,0.4257648542701965,0.4257648542701965,1,1,0,fail
97,0.30981773550078506,1,0.21408674545820836,0.21408674545820836,0,0,0,non_int
98,0.03979381538775503,0,0.056298821802769884,0.056298821802769884,1,1,0,fail
99,0.22221797435190613,0,0.2430957842490732,0.2430957842490732,0,0,0,non_int
100,0.6111394028068273,0,0.24011155837769022,0.24011155837769022,0,0,0,non_int
101,0.48277529465962193,1,0.4540241383835127,0.4540241383835127,0,0,0,non_int
102,0.6387989552066868,1,0.05109101641715685,0.05109101641715685,0,0,0,non_int
103,0.7274890914966808,0,0.1964745021554979,0.1964745021554979,0,0,0,non_int
104,1.9015754793528714,3,0.4399111705848504,0.4399111705848504,0,0,0,non_int
105,6.454872344748491,8,0.060900675473277946,0.530450337736639,1,0,1,success
106,0.5954318558092075,0,0.022940636191786608,0.022940636191786608,0,0,0,non_int
107,0.277623369166989,0,0.2711935507781804,0.2711935507781804,0,0,0,non_int
