run_id,sweep_type,r,s,p_fail,mean_rho_V,std_rho_V,mean_T,mean_B,frac_intelligent,frac_failed,frac_success,mean_fC_success,n_seeds
vacuum_toy_quick,sweep_r,0.5,0.5,0.5,0.849805282451892,0.0,1.348149276893115,1.017,0.322,0.167,0.155,0.6332092645633414,1
vacuum_toy_quick,sweep_r,0.75,0.5,0.5,0.8729264100590037,0.0,1.348149276893115,1.247,0.322,0.167,0.155,0.6332092645633414,1
vacuum_toy_quick,sweep_r,1.0,0.5,0.5,0.8987012631954804,0.0,1.348149276893115,1.359,0.322,0.167,0.155,0.6332092645633414,1
vacuum_toy_quick,sweep_r,1.25,0.5,0.5,0.8935326826382799,0.0,1.348149276893115,1.5,0.322,0.167,0.155,0.6332092645633414,1
vacuum_toy_quick,sweep_r,1.5,0.5,0.5,0.9138723277613444,0.0,1.348149276893115,1.599,0.322,0.167,0.155,0.6332092645633414,1
vacuum_toy_quick,sweep_r,2.0,0.5,0.5,0.9329913967074054,0.0,1.348149276893115,1.95,0.322,0.167,0.155,0.6332092645633414,1
vacuum_toy_quick,sweep_r,3.0,0.5,0.5,0.9527571574727259,0.0,1.348149276893115,2.52,0.322,0.167,0.155,0.6332092645633414,1
