run_id,sweep_type,r,s,p_fail,seed_index,seed,rho_V,mean_T,mean_B,frac_intelligent,frac_failed,frac_success,mean_fC_success,tail_top1_fraction
vacuum_toy_full,sweep_r,1.25,0.5,0.5,3,12348,0.9192158278539748,1.5012985298425507,1.66367,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,1.25,0.5,0.5,4,12349,0.9160140960959033,1.496861092226481,1.65483,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,0,12345,0.9263956010188954,1.5076739620406157,1.84243,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,1,12346,0.9267609085073867,1.5053275817768783,1.83367,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,2,12347,0.9230475792189037,1.4900272602487257,1.80766,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,3,12348,0.9277215860486955,1.5012985298425507,1.82904,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,1.5,0.5,0.5,4,12349,0.9255764617371605,1.496861092226481,1.8142,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,0,12345,0.9386531768732148,1.5076739620406157,2.18072,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,1,12346,0.9380182571886045,1.5053275817768783,2.15483,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,2,12347,0.9348582990551922,1.4900272602487257,2.13615,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,3,12348,0.9394676377549352,1.5012985298425507,2.15617,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,2.0,0.5,0.5,4,12349,0.9368562403086681,1.496861092226481,2.14577,0.29907,0.14884,0.15023,0.6235437121325699,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,0,12345,0.9479409000426422,1.5076739620406157,2.8459,0.30348,0.15061,0.15287,0.6243364646042748,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,1,12346,0.9477788380885391,1.5053275817768783,2.83287,0.29916,0.14945,0.14971,0.6261756706071792,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,2,12347,0.9440717069420472,1.4900272602487257,2.7897,0.29889,0.15038,0.14851,0.6247482705766336,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,3,12348,0.9475230913659022,1.5012985298425507,2.81637,0.30043,0.14986,0.15057,0.6242282201981764,
vacuum_toy_full,sweep_r,3.0,0.5,0.5,4,12349,0.9468565271323964,1.496861092226481,2.79953,0.29907,0.14884,0.15023,0.6235437121325699,
