run_id,sweep_type,ensemble_n,seeds_n,base_seed,r,s,p_fail,mean_rho_V,std_rho_V,mean_T,mean_B,mean_fC_success,frac_success,n_seeds
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.0,0.5,0.9073962465750715,0.00094534430544686,1.5003817336809417,1.8725160000000003,0.2492359530546842,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.1,0.5,0.9164042087245041,0.001115404921835351,1.5003817336809417,1.9295079999999998,0.3243123577492158,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.2,0.5,0.9232256891352122,0.0005609491621398206,1.5003817336809417,1.9872819999999998,0.3993887624437473,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.3,0.5,0.928611135589495,0.0009542759723300378,1.5003817336809417,2.046786,0.47446516713827896,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.4,0.5,0.9330377004459433,0.0013662005711191818,1.5003817336809417,2.101332,0.5495415718328105,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.5,0.5,0.9369921638197136,0.0008773302992182844,1.5003817336809417,2.156662,0.6246179765273421,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.6,0.5,0.9395042415317816,0.0009443852764828958,1.5003817336809417,2.213452,0.6996943812218738,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.7,0.5,0.9420968068680526,0.000774675107759337,1.5003817336809417,2.2680100000000003,0.7747707859164052,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.8,0.5,0.9440080141967077,0.0010888715543051286,1.5003817336809417,2.3276060000000003,0.8498471906109369,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,0.9,0.5,0.945657412735392,0.0005318349846850312,1.5003817336809417,2.385294,0.9249235953054684,0.150652,5
vacuum_toy_full,sweep_s,100000,5,12345,2.0,1.0,0.5,0.9465891361072918,0.0005816936887375923,1.5003817336809417,2.4401,1.0,0.150652,5
